1,New York,museum  nightlife   architecture  public-transport-friendly  dining  breweries  entertainment  shopping  landmarks  sports
2,San Francisco,museum  nightlife   architecture  public-transport-friendly  dining  breweries  420-friendly  shopping  hiking  sports
3,Jersey City,museum  entertainment  landmarks  day-trip
4,Boston,museum  historic  landmarks  child-friendly   shopping  nature  cruises  nightlife  breweries
5,Miami,beach  museum  day-trips  national-park  child-friendly  nightlife  hiking  cruises
6,Chicago,nightlife  museum  historic  landmarks  child-friendly  cruises  shopping  entertainment  dining  architecture  day-trip
7,Newark,sports  entertainment  museum  child-friendly  hiking
8,Philadelphia,dining  historic  museums  
9,Berkeley,hiking  nightlife  dining  breweries  entertainment  day-trips  museums
10,Washington,landmarks  historic  architecture  museum  entertainment  dining
11,San Mateo,dining  breweries  entertainment  child-friendly  hiking  day-trips
12,Los Angeles,landmarks  child-friendly  hiking  museums  nightlife  day-trips  beaches  shopping  breweries  dining
13,Seattle,breweries  landmarks  420-friendly  dining  day-trips  nightlife  shopping
14,Minneapolis,museum  hiking  entertainment  waterfalls  child-friendly  shopping  nightlife
15,Baltimore,cruises  museums  shopping  historic  day-trips
16,Oakland,hiking  museums  child-friendly  day-trips  entertainment
17,New Haven,museum  beach  day-trips
18,Sunnyvale,dining  child-friendly
19,Santa Clara,sports  museums  child-friendly  dining
20,Buffalo,architecture  historic  museum  kid-friendly  day-trip
21,Milwaukee,museum  brewery  entertainment  child-friendly  breweries
22,Honolulu,hiking  adventure  national-park  beaches  museum  historic  entertainment  child-friendly  nightlife
23,San Jose,museum  nightlife  breweries  dinning  day-trips
24,Hollywood,beach
25,Pittsburgh,sports  museums  child-friendly  dining  historic  
26,Sacramento,museums  historic  child-friendly  sports  nightlife  entertainment  shopping
27,Cleveland,museum  entertainment  shopping  sports  nightlife  historic  child-friendly  dining
28,Detroit,historic
29,Springfield,museums  historic  child-friendly
30,Portland,dining  hiking  420-friendly  public-transport-friendly  shopping  entertainment
31,Las Vegas,nightlife  casino  national-park  adventure  420-friendly  breweries
32,Tempe,beach  museum  child-friendly
33,Denver,nightlife  breweries  420-friendly  entertainment  hiking  adventure
34,Boulder,hiking  adventure
